Day,Description,Category,Amount,Account Name,Automatic,Paid,Cleared
0,ADJUSTMENT,Adjustment,0,,
0,SAVINGS,Savings,0,,
1,Rent Prog. Res.,Housing,1430,Joint,No,No,No
1,Ulta CC,Loans,70,Joint,No,No,No
1,Phone plan,Housing,163.31,D-Tinker,No,No,No
1,Clomicalm,Pets,62,D-Tinker,No,No,No
1,Apple CC,Loans,50,Joint,No,No,No
7,Chiropractor,Medical,65,Joint,No,No,No
1,Netflix Sub.,Entertainment,15.49,D-Tinker,Yes,,No
1,Electric OG&E,Housing,276,D-Tinker,No,Yes,No
1,Met. Opera Sub.,Education,15,Joint,Yes,,No
3,Dental Depot,Medical,148.33,D-Tinker,Yes,,No
4,Audible Sub.,Personal,15,Joint,Yes,,No
6,SimpliSafe Sub.,Housing,27.99,D-Tinker,Yes,,No
6,E-Tinker Loan,Loans,110,Joint,No,No,No
7,Care Credit CC,Loans,100,Joint,No,No,No
6,Murano Payment,Loans,164.74,D-Tinker,Yes,,No
6,D-Tinker Loan,Loans,61,D-Tinker,Yes,,No
10,Okie Car Wash Sub.,Personal,24.99,Joint (transfer),Yes,,No
10,E-Tinker CC,Loans,100,Joint (transfer),No,No,No
12,Lane Bryant CC,Loans,30,D-Tinker,No,No,No
12,"Disney+ Sub. ($80, May)",Entertainment,0,Joint (transfer),Yes,,No
12,Car Ins. Geico,Insurance,265,D-Tinker,No,No,No
13,Cox Internet,Housing,100.2,D-Tinker,No,No,No
14,E-Tinker Loan,Loans,110,Joint (transfer),No,No,No
14,Renter Ins. Assurant,Insurance,21.92,D-Tinker,Yes,,No
15,Jan Payment,Medical,80,Joint (transfer),No,No,No
17,City Water/Trash,Housing,106.24,D-Tinker,No,No,No
18,D-Wells Fargo CC,Loans,100,D-Tinker,No,No,No
18,Hulu w/HBO Max Sub.,Entertainment,30,D-Tinker,Yes,,No
21,Nat. Gas ONG,Housing,136,D-Tinker,No,No,No
20,Murano Payment,Loans,164.74,D-Tinker,Yes,,No
20,D-Tinker Loan,Loans,61,D-Tinker,Yes,,No
24,Spotify Sub.,Entertainment,15.99,D-Tinker,Yes,,No
25,Amazon Prime Sub.,Entertainment,14.99,Joint (transfer),Yes,,No
27,OK Bapt. Hospital,Medical,98.03,D-Tinker,Yes,,No
27,OK Bapt. Anasthesia,Medical,57,D-Tinker,Yes,,No
28,"Romex Pest ($79, Jan)",Housing,0,D-Tinker,Yes,,No
29,"Micro. Office Sub. ($70, Aug)",Education,0,D-Tinker,Yes,,No
1,E-Paycheck,Income,2370.29,Joint,Yes,,No
6,D-Paycheck,Income,1598.62,D-Tinker,Yes,,No
1,D-Money transfer,Income,1000,D-Tinker,Yes,,No
20,D-Paycheck,Income,1598.62,D-Tinker,Yes,,No
